dataset,source_file,row_number_source,record_id,field,error_type,current_value,fixed_value,expected_rule
bank_marketing,bank-marketing/bank/bank-full.csv,5,,education,missing_value,unknown,secondary,"education должно содержать валидную категорию, не 'unknown'"
bank_marketing,bank-marketing/bank/bank-full.csv,6,,education,missing_value,unknown,secondary,"education должно содержать валидную категорию, не 'unknown'"
bank_marketing,bank-marketing/bank/bank-full.csv,6,,job,missing_value,unknown,blue-collar,"job должно содержать валидную категорию, не 'unknown'"
bank_marketing,bank-marketing/bank/bank-full.csv,15,,education,missing_value,unknown,secondary,"education должно содержать валидную категорию, не 'unknown'"
bank_marketing,bank-marketing/bank/bank-full.csv,18,,education,missing_value,unknown,secondary,"education должно содержать валидную категорию, не 'unknown'"
bank_marketing,bank-marketing/bank/bank-full.csv,44,,education,missing_value,unknown,secondary,"education должно содержать валидную категорию, не 'unknown'"
bank_marketing,bank-marketing/bank/bank-full.csv,46,,education,missing_value,unknown,secondary,"education должно содержать валидную категорию, не 'unknown'"
bank_marketing,bank-marketing/bank/bank-full.csv,59,,education,missing_value,unknown,secondary,"education должно содержать валидную категорию, не 'unknown'"
bank_marketing,bank-marketing/bank/bank-full.csv,60,,education,missing_value,unknown,secondary,"education должно содержать валидную категорию, не 'unknown'"
bank_marketing,bank-marketing/bank/bank-full.csv,66,,education,missing_value,unknown,secondary,"education должно содержать валидную категорию, не 'unknown'"
bank_marketing,bank-marketing/bank/bank-full.csv,95,,education,missing_value,unknown,secondary,"education должно содержать валидную категорию, не 'unknown'"
bank_marketing,bank-marketing/bank/bank-full.csv,122,,education,missing_value,unknown,secondary,"education должно содержать валидную категорию, не 'unknown'"
bank_marketing,bank-marketing/bank/bank-full.csv,124,,education,missing_value,unknown,secondary,"education должно содержать валидную категорию, не 'unknown'"
bank_marketing,bank-marketing/bank/bank-full.csv,132,,education,missing_value,unknown,secondary,"education должно содержать валидную категорию, не 'unknown'"
bank_marketing,bank-marketing/bank/bank-full.csv,139,,education,missing_value,unknown,secondary,"education должно содержать валидную категорию, не 'unknown'"
bank_marketing,bank-marketing/bank/bank-full.csv,152,,education,missing_value,unknown,secondary,"education должно содержать валидную категорию, не 'unknown'"
bank_marketing,bank-marketing/bank/bank-full.csv,158,,education,missing_value,unknown,secondary,"education должно содержать валидную категорию, не 'unknown'"
bank_marketing,bank-marketing/bank/bank-full.csv,162,,education,missing_value,unknown,secondary,"education должно содержать валидную категорию, не 'unknown'"
bank_marketing,bank-marketing/bank/bank-full.csv,174,,education,missing_value,unknown,secondary,"education должно содержать валидную категорию, не 'unknown'"
bank_marketing,bank-marketing/bank/bank-full.csv,188,,education,missing_value,unknown,secondary,"education должно содержать валидную категорию, не 'unknown'"
bank_marketing,bank-marketing/bank/bank-full.csv,205,,education,missing_value,unknown,secondary,"education должно содержать валидную категорию, не 'unknown'"
